source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'BBC News'}",,Chris Mason: Starmer wins Trump over - but Ukraine uncertainty lingers,"No 10 thinks the talks were a success but questions remain on defence, our political editor writes.",https://www.bbc.com/news/articles/c871120g92ro,https://ichef.bbci.co.uk/news/1024/branded_news/a705/live/a5f2c780-f58d-11ef-aa8e-bb7a965ee4b3.jpg,2025-02-28T06:52:33Z,"The prime minister's appointment with President Donald Trump, a wildly unpredictable showman of very different political hue, could so easily have been awkward, even excruciating.
But it wasn't.
As… [+3401 chars]"
"{'id': None, 'name': 'BBC News'}",,"Ukraine must strike minerals deal, says Trump adviser",The comments overshadowed Zelensky's meeting with US envoy Keith Kellogg in Kyiv.,https://www.bbc.com/news/articles/ceqjn74gdwzo,https://ichef.bbci.co.uk/news/1024/branded_news/875e/live/0d660300-efd0-11ef-bd1b-d536627785f2.jpg,2025-02-20T19:59:06Z,"James Waterhouse
Ukrainian President Volodymyr Zelensky needs to return to the negotiating table and strike a deal on US access to Ukraine's critical minerals, White House national security adviser … [+4379 chars]"
"{'id': None, 'name': 'BBC News'}",,"I'll back Ukraine in talks with Trump, Starmer tells Zelensky",The prime minister called Ukraine's Volodymyr Zelensky for the second time in four days.,https://www.bbc.com/news/articles/c8rklvrnl7ro,https://ichef.bbci.co.uk/news/1024/branded_news/6576/live/cdc308d0-f130-11ef-9e61-71ee71f26eb1.jpg,2025-02-22T16:13:52Z,"Damian Grammaticas
Tom Symonds
Sir Keir Starmer will discuss the importance of Ukraine's sovereignty in talks with Donald Trump next week, he said in a call with the country's president.
The UK pr… [+3792 chars]"
"{'id': None, 'name': 'BBC News'}",,Ukraine needs US security guarantee to deter Putin - PM,The PM stresses the importance of US help but Trump suggests responsibility lies with Europe.,https://www.bbc.com/news/articles/c5ymvygpj7go,https://ichef.bbci.co.uk/news/1024/branded_news/16b5/live/4f2ffb60-f48f-11ef-b27c-cbb996f05222.jpg,2025-02-26T22:31:30Z,"Chris MasonReporting from
Travelling with the prime minister
Alice ThompsonSenior political producer
Sir Keir Starmer has reiterated his call for a US security guarantee in Ukraine to deter Vladim… [+4855 chars]"
"{'id': None, 'name': 'BBC News'}",,Ros Atkins on... the US-Ukraine mineral deal,The BBC's Analysis Editor Ros Atkins takes a look at what we know - and what we don't - about the US-Ukraine mineral deal.,https://www.bbc.com/news/videos/c86p3z123g4o,https://ichef.bbci.co.uk/news/1024/branded_news/1802/live/18155bc0-f462-11ef-8c03-7dfdbeeb2526.jpg,2025-02-26T16:54:02Z,"Ukraine says it has agreed to the terms of a major deal that would give the US access to its mineral deposits. 
But it reportedly does not give firm security guarantees to war-torn Ukraine. 
The BB… [+110 chars]"
"{'id': None, 'name': 'BBC News'}",,What key players want from Ukraine war talks,"BBC reporters analyse what European powers in Paris, and Russian and US officials in Saudi Arabia aim to achieve.",https://www.bbc.com/news/articles/cwypy119yzno,https://ichef.bbci.co.uk/news/1024/branded_news/2be3/live/a7d8a9c0-ed22-11ef-b057-d7115843701e.jpg,2025-02-17T17:01:58Z,"This could prove a defining week for the war in Ukraine, with two sets of hastily arranged talks taking place in Paris and Riyadh.
European leaders are meeting in France as they scramble for a respo… [+11129 chars]"
"{'id': None, 'name': 'BBC News'}",,Chris Mason: Colossal stakes for UK summit on Ukraine,"Sunday's summit of European leaders in London, to be attended by Ukraine's leader, is shaping up to be crucial, the BBC's political editor writes.",https://www.bbc.com/news/articles/cj6787zzg79o,https://ichef.bbci.co.uk/news/1024/branded_news/46b1/live/6fca34b0-f63f-11ef-896e-d7e7fb1719a4.jpg,2025-03-01T01:28:46Z,"In the immediate hours after those astonishing exchanges between Presidents Donald Trump and Volodymyr Zelensky in the White House, European leaders, one after another, offered their public support f… [+3190 chars]"
"{'id': None, 'name': 'BBC News'}",,Ukraine official says minerals deal agreed with US,"A senior Ukrainian official tells the BBC ""a number of good amendments"" have been agreed, while the US is yet to comment.",https://www.bbc.com/news/articles/c337461n3xlo,https://ichef.bbci.co.uk/news/1024/branded_news/8013/live/f3b316e0-f3c2-11ef-9843-25877e801f1e.png,2025-02-25T23:51:49Z,"Abdujalil Abdurasulov
Anthony Zurcher
Jaroslav Lukiv
Lorries carry ore from an a mine in central Ukraine. File photo
Ukraine has agreed the terms of a major minerals deal with the US, a senior of… [+4761 chars]"
"{'id': None, 'name': 'BBC News'}",,"Ukraine still 'ready' to sign US minerals deal, Zelensky says","Ukraine's president tells reporters that despite a fractious White House meeting, he is prepared for the deal to go ahead.",https://www.bbc.com/news/articles/c8j0ggm3mdwo,https://ichef.bbci.co.uk/news/1024/branded_news/033b/live/fb78eae0-f7bd-11ef-896e-d7e7fb1719a4.jpg,2025-03-02T23:22:41Z,"Watch: Mineral deal still ""ready to sign"", Zelensky tells the BBC
Volodymyr Zelensky has said he is still ""ready to sign"" a US-Ukraine minerals deal after leaving the White House without it being ag… [+4758 chars]"
"{'id': None, 'name': 'BBC News'}",,Watch: 'Unpleasant to see' - Ukrainians react to spat,"The meeting, which was meant to end with a minerals deal signing, instead descended into an argument over the Ukraine war.",https://www.bbc.com/news/videos/cqly6ydypzro,https://ichef.bbci.co.uk/news/1024/branded_news/8f77/live/8dd75510-f62f-11ef-9e61-71ee71f26eb1.jpg,2025-03-01T00:18:39Z,"Ukrainians have reacted to a clash between President Volodymyr Zelensky, US President Donald Trump and Vice-president JD Vance in the Oval Office.
During the fiery exchange, the US president accused… [+194 chars]"
